method,init,condition,profile,temperature_C,aggregation,mae,rmse,recovery_time_s,recovered,residual_error_1800s_pp,mean_lambda,inflated_fraction,diverged,n_samples,lambda_min,nis_threshold,nis_ema_beta
hysteresis_2rc_ekf,minus5pp,FUDS_25C,FUDS,25.0,condition,1.24379831755574,1.2599591445860971,17.060199999999895,1.0,-1.1372191143020904,1.0,0.0,False,7323,,,
hysteresis_2rc_ekf,minus10pp,FUDS_25C,FUDS,25.0,condition,1.8422061476325982,1.8614126077098918,,0.0,-1.6196077416100407,1.0,0.0,False,7323,,,
hysteresis_2rc_ekf,oracle,US06_25C,US06,25.0,condition,0.03376774520158475,0.044137017450013874,0.0,1.0,-0.008852921325019913,1.0,0.0,False,6908,,,
hysteresis_2rc_ekf,minus5pp,US06_25C,US06,25.0,condition,1.5594290806850741,1.559778281370715,,0.0,-1.5369184496340393,1.0,0.0,False,6908,,,
hysteresis_2rc_ekf,minus10pp,US06_25C,US06,25.0,condition,9.06250542705788,9.105224614264737,,0.0,-9.300800893821837,1.0,0.0,False,6908,,,
hysteresis_2rc_ekf,oracle,DST_30C,DST,30.0,condition,0.21749145594299119,0.2932939539745861,0.0,1.0,-0.13984362585907073,1.0,0.0,False,7391,,,
hysteresis_2rc_ekf,minus5pp,DST_30C,DST,30.0,condition,0.8036525061873645,0.8325522441627669,2.0071490000000267,1.0,-0.709849031332932,1.0,0.0,False,7391,,,
hysteresis_2rc_ekf,minus10pp,DST_30C,DST,30.0,condition,8.07464982220085,8.166429093552983,,0.0,-8.509258006614473,1.0,0.0,False,7391,,,
hysteresis_2rc_ekf,oracle,FUDS_30C,FUDS,30.0,condition,0.21567466252511913,0.2767728591285065,0.0,1.0,-0.2108008740891676,1.0,0.0,False,7397,,,
hysteresis_2rc_ekf,minus5pp,FUDS_30C,FUDS,30.0,condition,1.0879402955585151,1.1066925535026275,45.280360000000655,1.0,-1.0839853779156972,1.0,0.0,False,7397,,,
