chemistry,method,init_condition,precision,fold,temperature_C,mae_pct,rmse_pct,n_points,status,reason
LFP,hysteresis_2rc_ekf,oracle,fp64,US06,30,0.0454096381588218,MISSING_not_recorded,6953,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,US06,40,0.175609459563096,MISSING_not_recorded,7095,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,US06,50,0.0450346741679847,MISSING_not_recorded,7116,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,US06,-10,12.372264932919837,MISSING_not_recorded,5051,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,US06,0,8.443110873362764,MISSING_not_recorded,6234,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,US06,10,8.655873075878752,MISSING_not_recorded,6727,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,US06,20,7.248437236219716,MISSING_not_recorded,6849,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,US06,25,8.228400625700838,MISSING_not_recorded,6908,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,US06,30,8.11480388947008,MISSING_not_recorded,6953,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,US06,40,7.5580548149132065,MISSING_not_recorded,7095,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,US06,50,7.724659882351227,MISSING_not_recorded,7116,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,US06,-10,0.079742348633262,MISSING_not_recorded,5051,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,US06,0,0.173221701443575,MISSING_not_recorded,6234,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,US06,10,0.0584859176401271,MISSING_not_recorded,6727,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,US06,20,0.039100091361246,MISSING_not_recorded,6849,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,US06,25,0.0359916678342898,MISSING_not_recorded,6908,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,US06,30,0.1135561988612785,MISSING_not_recorded,6953,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,US06,40,0.1240110877342365,MISSING_not_recorded,7095,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,plain_2rc_ekf,oracle,fp64,US06,50,0.0508136466278151,MISSING_not_recorded,7116,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,1RC_EKF,oracle,fp64,DST,0,2.014759460133386,MISSING_not_recorded,9478,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,1RC_EKF,oracle,fp64,DST,25,1.809042950485817,MISSING_not_recorded,10572,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,1RC_EKF,oracle,fp64,DST,45,2.2581564394184026,MISSING_not_recorded,11255,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,2RC_EKF,oracle,fp64,DST,0,1.9022251030104984,MISSING_not_recorded,9478,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,2RC_EKF,oracle,fp64,DST,25,1.7089626405280276,MISSING_not_recorded,10572,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,2RC_EKF,oracle,fp64,DST,45,1.2609044100902265,MISSING_not_recorded,11255,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,2RC_UKF,oracle,fp64,DST,0,1.994688600382716,MISSING_not_recorded,9478,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,2RC_UKF,oracle,fp64,DST,25,2.1326538121707825,MISSING_not_recorded,10572,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,2RC_UKF,oracle,fp64,DST,45,2.425111102950526,MISSING_not_recorded,11255,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,Adaptive_2RC_EKF,oracle,fp64,DST,0,1.9814603170972087,MISSING_not_recorded,9478,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,Adaptive_2RC_EKF,oracle,fp64,DST,25,1.7126907232983712,MISSING_not_recorded,10572,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,Adaptive_2RC_EKF,oracle,fp64,DST,45,1.2604965678953906,MISSING_not_recorded,11255,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,CC,oracle,fp32,DST,0,0.1044330164927535,MISSING_not_recorded,9478,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,CC,oracle,fp32,DST,25,0.0570575686025973,MISSING_not_recorded,10572,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,CC,oracle,fp32,DST,45,0.2550795048664398,MISSING_not_recorded,11255,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,1RC_EKF,oracle,fp64,FUDS,0,2.062597321482208,MISSING_not_recorded,9658,PASS,actual MCU precision; no precision relabeling or mixed aggregation
NMC,1RC_EKF,oracle,fp64,FUDS,25,1.6454121989805457,MISSING_not_recorded,11043,PASS,actual MCU precision; no precision relabeling or mixed aggregation
