chemistry,feature,fold,seed,record_file,precision,n_compared,max_abs_diff_pct,mean_abs_diff_pct,p99_abs_diff_pct,max_diff_index,status
LFP,T7,US06,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_US06.csv,fp32,22,1.1920928955078123e-05,2.9802322407881188e-06,1.1920928955078123e-05,55,PASS_partial_record_22_outputs
LFP,T7,US06,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_US06.csv,fp32,22,5.960464488641293e-06,2.167441630719257e-06,5.960464486309824e-06,64,PASS_partial_record_22_outputs
LFP,T7,US06,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_US06.csv,fp32,22,1.1920928966180355e-05,5.147673871002729e-06,1.1920928966180355e-05,51,PASS_partial_record_22_outputs
LFP,T7,US06,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_US06.csv,fp32,22,1.1920928955078123e-05,3.793022851361627e-06,1.1920928952746655e-05,56,PASS_partial_record_22_outputs
LFP,T7,US06,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_US06.csv,fp32,22,1.1920928966180355e-05,4.334883257905986e-06,1.1920928963848887e-05,52,PASS_partial_record_22_outputs
LFP,T7,US06,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_US06.csv,fp32,22,1.1920928955078123e-05,2.167441630719257e-06,1.0669231417126383e-05,66,PASS_partial_record_22_outputs
LFP,T7,US06,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_US06.csv,fp32,22,1.1920928955078123e-05,2.7093020382729094e-06,1.1920928955078123e-05,51,PASS_partial_record_22_outputs
LFP,T7,US06,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_US06.csv,fp32,22,1.1920928955078123e-05,2.70930203978685e-06,1.0669231417126383e-05,68,PASS_partial_record_22_outputs
LFP,T7,US06,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_US06.csv,fp32,22,1.1920928966180355e-05,4.605813463953723e-06,1.1920928963848887e-05,51,PASS_partial_record_22_outputs
NMC,G4,DST,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_DST.csv,fp32,22,1.921325684106634e-05,6.050856156529378e-06,1.822423553954344e-05,65,PASS_partial_record_22_outputs
NMC,G4,DST,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_DST.csv,fp32,22,1.208892822512908e-05,3.3683568782679045e-06,1.1978035432513856e-05,58,PASS_partial_record_22_outputs
NMC,G4,DST,0,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_DST.csv,fp32,22,1.171276855504999e-05,5.054817200165409e-06,1.1698429108419894e-05,64,PASS_partial_record_22_outputs
NMC,G4,DST,1,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_DST.csv,fp32,22,1.7881393432617188e-05,5.68953427401456e-06,1.6629695892333978e-05,59,PASS_partial_record_22_outputs
NMC,G4,DST,1,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_DST.csv,fp32,22,1.1920928955078123e-05,4.063953052867543e-06,1.1920928955078123e-05,62,PASS_partial_record_22_outputs
NMC,G4,DST,1,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_DST.csv,fp32,22,1.1920928955078123e-05,2.9802322387695317e-06,1.0669231414794915e-05,66,PASS_partial_record_22_outputs
NMC,G4,DST,2,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/0C/NMC_0C_DST.csv,fp32,22,5.960464477539063e-06,2.9802322387695317e-06,5.960464477539063e-06,49,PASS_partial_record_22_outputs
NMC,G4,DST,2,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/25C/NMC_25C_DST.csv,fp32,22,1.1920928955078123e-05,2.9802322387695312e-06,1.1920928955078123e-05,49,PASS_partial_record_22_outputs
NMC,G4,DST,2,/home/user/바탕화면/DL/CEMA_MLP_OCVSTART_FULLGRID/nmc_ocvstart_25c_us06_soc0_dstfudsmean_lopo_clean/45C/NMC_45C_DST.csv,fp32,22,1.7881393432617188e-05,5.68953427401456e-06,1.6629695892333978e-05,52,PASS_partial_record_22_outputs
