model,precision,window_index,repeat_index,cycles,clock_hz
nmc_t6plain_dst_s0,fp32,20,6,47670641,250000000
nmc_t6plain_dst_s0,fp32,20,7,47670641,250000000
nmc_t6plain_dst_s0,fp32,20,8,47670641,250000000
nmc_t6plain_dst_s0,fp32,20,9,47670641,250000000
nmc_t6plain_dst_s0,fp32,20,10,47670641,250000000
nmc_t6plain_dst_s0,fp32,20,11,47670641,250000000
nmc_t6plain_dst_s0,fp32,20,12,47670641,250000000
nmc_t6plain_dst_s0,fp32,20,13,47670641,250000000
nmc_t6plain_dst_s0,fp32,20,14,47670641,250000000
nmc_t6plain_dst_s0,fp32,20,15,47670641,250000000
nmc_t6plain_dst_s0,fp32,21,0,47667794,250000000
nmc_t6plain_dst_s0,fp32,21,1,47667746,250000000
nmc_t6plain_dst_s0,fp32,21,2,47667746,250000000
nmc_t6plain_dst_s0,fp32,21,3,47667746,250000000
nmc_t6plain_dst_s0,fp32,21,4,47667746,250000000
nmc_t6plain_dst_s0,fp32,21,5,47667746,250000000
nmc_t6plain_dst_s0,fp32,21,6,47667746,250000000
nmc_t6plain_dst_s0,fp32,21,7,47667746,250000000
nmc_t6plain_dst_s0,fp32,21,8,47667746,250000000
nmc_t6plain_dst_s0,fp32,21,9,47667746,250000000
nmc_t6plain_dst_s0,fp32,21,10,47667746,250000000
nmc_t6plain_dst_s0,fp32,21,11,47667746,250000000
nmc_t6plain_dst_s0,fp32,21,12,47667746,250000000
nmc_t6plain_dst_s0,fp32,21,13,47667746,250000000
nmc_t6plain_dst_s0,fp32,21,14,47667746,250000000
nmc_t6plain_dst_s0,fp32,21,15,47667746,250000000
nmc_t6plain_dst_s0,fp32,22,0,47611958,250000000
nmc_t6plain_dst_s0,fp32,22,1,47611910,250000000
nmc_t6plain_dst_s0,fp32,22,2,47611910,250000000
nmc_t6plain_dst_s0,fp32,22,3,47611910,250000000
nmc_t6plain_dst_s0,fp32,22,4,47611910,250000000
nmc_t6plain_dst_s0,fp32,22,5,47611910,250000000
nmc_t6plain_dst_s0,fp32,22,6,47611910,250000000
nmc_t6plain_dst_s0,fp32,22,7,47611910,250000000
nmc_t6plain_dst_s0,fp32,22,8,47611910,250000000
nmc_t6plain_dst_s0,fp32,22,9,47611910,250000000
nmc_t6plain_dst_s0,fp32,22,10,47611910,250000000
nmc_t6plain_dst_s0,fp32,22,11,47611910,250000000
nmc_t6plain_dst_s0,fp32,22,12,47611910,250000000
nmc_t6plain_dst_s0,fp32,22,13,47611910,250000000
nmc_t6plain_dst_s0,fp32,22,14,47611910,250000000
nmc_t6plain_dst_s0,fp32,22,15,47611910,250000000
nmc_t6plain_dst_s0,fp32,23,0,47643532,250000000
nmc_t6plain_dst_s0,fp32,23,1,47643486,250000000
nmc_t6plain_dst_s0,fp32,23,2,47643486,250000000
nmc_t6plain_dst_s0,fp32,23,3,47643486,250000000
nmc_t6plain_dst_s0,fp32,23,4,47643486,250000000
nmc_t6plain_dst_s0,fp32,23,5,47643486,250000000
nmc_t6plain_dst_s0,fp32,23,6,47643486,250000000
nmc_t6plain_dst_s0,fp32,23,7,47643486,250000000
nmc_t6plain_dst_s0,fp32,23,8,47643486,250000000
nmc_t6plain_dst_s0,fp32,23,9,47643486,250000000
nmc_t6plain_dst_s0,fp32,23,10,47643486,250000000
nmc_t6plain_dst_s0,fp32,23,11,47643486,250000000
nmc_t6plain_dst_s0,fp32,23,12,47643486,250000000
nmc_t6plain_dst_s0,fp32,23,13,47643486,250000000
nmc_t6plain_dst_s0,fp32,23,14,47643486,250000000
nmc_t6plain_dst_s0,fp32,23,15,47643486,250000000
nmc_t6plain_dst_s0,fp32,24,0,47669400,250000000
nmc_t6plain_dst_s0,fp32,24,1,47669354,250000000
nmc_t6plain_dst_s0,fp32,24,2,47669354,250000000
nmc_t6plain_dst_s0,fp32,24,3,47669354,250000000
nmc_t6plain_dst_s0,fp32,24,4,47669354,250000000
nmc_t6plain_dst_s0,fp32,24,5,47669354,250000000
nmc_t6plain_dst_s0,fp32,24,6,47669354,250000000
nmc_t6plain_dst_s0,fp32,24,7,47669354,250000000
nmc_t6plain_dst_s0,fp32,24,8,47669354,250000000
nmc_t6plain_dst_s0,fp32,24,9,47669354,250000000
nmc_t6plain_dst_s0,fp32,24,10,47669354,250000000
nmc_t6plain_dst_s0,fp32,24,11,47669354,250000000
nmc_t6plain_dst_s0,fp32,24,12,47669354,250000000
nmc_t6plain_dst_s0,fp32,24,13,47669354,250000000
nmc_t6plain_dst_s0,fp32,24,14,47669354,250000000
nmc_t6plain_dst_s0,fp32,24,15,47669354,250000000
nmc_t6plain_dst_s0,fp32,25,0,47681751,250000000
nmc_t6plain_dst_s0,fp32,25,1,47681698,250000000
nmc_t6plain_dst_s0,fp32,25,2,47681698,250000000
nmc_t6plain_dst_s0,fp32,25,3,47681698,250000000
nmc_t6plain_dst_s0,fp32,25,4,47681698,250000000
nmc_t6plain_dst_s0,fp32,25,5,47681698,250000000
nmc_t6plain_dst_s0,fp32,25,6,47681698,250000000
nmc_t6plain_dst_s0,fp32,25,7,47681698,250000000
nmc_t6plain_dst_s0,fp32,25,8,47681698,250000000
nmc_t6plain_dst_s0,fp32,25,9,47681698,250000000
nmc_t6plain_dst_s0,fp32,25,10,47681698,250000000
nmc_t6plain_dst_s0,fp32,25,11,47681698,250000000
nmc_t6plain_dst_s0,fp32,25,12,47681698,250000000
nmc_t6plain_dst_s0,fp32,25,13,47681698,250000000
nmc_t6plain_dst_s0,fp32,25,14,47681698,250000000
nmc_t6plain_dst_s0,fp32,25,15,47681698,250000000
nmc_t6plain_dst_s0,fp32,26,0,47702425,250000000
nmc_t6plain_dst_s0,fp32,26,1,47702372,250000000
nmc_t6plain_dst_s0,fp32,26,2,47702372,250000000
nmc_t6plain_dst_s0,fp32,26,3,47702372,250000000
nmc_t6plain_dst_s0,fp32,26,4,47702372,250000000
nmc_t6plain_dst_s0,fp32,26,5,47702372,250000000
nmc_t6plain_dst_s0,fp32,26,6,47702372,250000000
nmc_t6plain_dst_s0,fp32,26,7,47702372,250000000
nmc_t6plain_dst_s0,fp32,26,8,47702372,250000000
nmc_t6plain_dst_s0,fp32,26,9,47702372,250000000
nmc_t6plain_dst_s0,fp32,26,10,47702372,250000000
nmc_t6plain_dst_s0,fp32,26,11,47702372,250000000
nmc_t6plain_dst_s0,fp32,26,12,47702372,250000000
nmc_t6plain_dst_s0,fp32,26,13,47702372,250000000
nmc_t6plain_dst_s0,fp32,26,14,47702372,250000000
nmc_t6plain_dst_s0,fp32,26,15,47702372,250000000
nmc_t6plain_dst_s0,fp32,27,0,47728263,250000000
nmc_t6plain_dst_s0,fp32,27,1,47728210,250000000
nmc_t6plain_dst_s0,fp32,27,2,47728210,250000000
nmc_t6plain_dst_s0,fp32,27,3,47728210,250000000
nmc_t6plain_dst_s0,fp32,27,4,47728210,250000000
nmc_t6plain_dst_s0,fp32,27,5,47728210,250000000
nmc_t6plain_dst_s0,fp32,27,6,47728210,250000000
nmc_t6plain_dst_s0,fp32,27,7,47728210,250000000
nmc_t6plain_dst_s0,fp32,27,8,47728210,250000000
nmc_t6plain_dst_s0,fp32,27,9,47728210,250000000
nmc_t6plain_dst_s0,fp32,27,10,47728210,250000000
nmc_t6plain_dst_s0,fp32,27,11,47728210,250000000
nmc_t6plain_dst_s0,fp32,27,12,47728210,250000000
nmc_t6plain_dst_s0,fp32,27,13,47728210,250000000
