feature,fold,seed,temp,reset_trial,reset_index,time_to_recover_within_1pct_s,recovered,observation_horizon_s
T6_plain,DST,2,50.0,3,4924,789.2956219999996,True,2545.316422
T6_plain,DST,2,50.0,4,5783,161.60631000000103,True,1684.210290000001
T6_plain,FUDS,0,-10.0,0,1196,1911.761559999999,True,4484.203099999999
T6_plain,FUDS,0,-10.0,1,2242,1950.5519600000007,True,3435.749079999998
T6_plain,FUDS,0,-10.0,2,2655,1810.4270999999976,True,3021.6220199999993
T6_plain,FUDS,0,-10.0,3,3485,1044.9728299999997,True,2190.0072199999995
T6_plain,FUDS,0,-10.0,4,4364,,False,1308.4756999999954
T6_plain,FUDS,0,0.0,0,877,3056.592819999998,True,6153.038049999996
T6_plain,FUDS,0,0.0,1,2453,1097.712859999996,True,4572.219649999995
T6_plain,FUDS,0,0.0,2,3584,1336.224589999998,True,3438.3691399999952
T6_plain,FUDS,0,0.0,3,4773,1123.9250700000048,True,2245.6532399999996
T6_plain,FUDS,0,0.0,4,5611,284.9835400000011,True,1405.711709999996
T6_plain,FUDS,0,10.0,0,1628,2836.307139999997,True,5456.29898
T6_plain,FUDS,0,10.0,1,2365,1928.4384200000022,True,4716.963
T6_plain,FUDS,0,10.0,2,3032,2259.006029999997,True,4048.135009999998
T6_plain,FUDS,0,10.0,3,4619,566.9335500000016,True,2456.4394200000024
T6_plain,FUDS,0,10.0,4,5595,247.77969000000303,True,1477.7204300000012
T6_plain,FUDS,0,20.0,0,1022,3077.001369999998,True,6292.8186799999985
T6_plain,FUDS,0,20.0,1,1946,2517.452379999999,True,5366.368619999999
T6_plain,FUDS,0,20.0,2,3859,1428.418399999999,True,3447.5344400000017
T6_plain,FUDS,0,20.0,3,4312,1712.9391900000046,True,2993.4151500000025
T6_plain,FUDS,0,20.0,4,5494,332.84676999999647,True,1808.0352199999998
T6_plain,FUDS,0,25.0,0,821,3477.6298800000004,True,6575.8004100000035
T6_plain,FUDS,0,25.0,1,2661,2100.7565800000048,True,4728.709380000004
T6_plain,FUDS,0,25.0,2,3588,1696.5170800000014,True,3798.024650000003
T6_plain,FUDS,0,25.0,3,4450,388.81174000000556,True,2932.3928500000047
T6_plain,FUDS,0,25.0,4,6574,529.9733199999973,True,799.0580499999996
T6_plain,FUDS,0,30.0,0,1380,3082.700090000002,True,6089.728140000005
T6_plain,FUDS,0,30.0,1,2290,2363.666849999998,True,5175.873340000004
T6_plain,FUDS,0,30.0,2,3608,1800.2679300000018,True,3852.394540000003
T6_plain,FUDS,0,30.0,3,5159,1616.4227800000008,True,2295.233530000007
T6_plain,FUDS,0,30.0,4,6245,965.2355499999967,True,1205.1987200000021
T6_plain,FUDS,0,40.0,0,1751,2796.8567299999995,True,5843.208059999999
T6_plain,FUDS,0,40.0,1,2105,2619.3639599999988,True,5488.05262
T6_plain,FUDS,0,40.0,2,4181,1572.7103900000002,True,3405.53795
T6_plain,FUDS,0,40.0,3,4810,1080.841489999998,True,2774.3366499999984
T6_plain,FUDS,0,40.0,4,5781,1320.8070399999988,True,1800.7858999999971
T6_plain,FUDS,0,50.0,0,1394,3154.7451800000017,True,6240.925609999998
T6_plain,FUDS,0,50.0,1,2503,2411.7739299999994,True,5127.497929999998
T6_plain,FUDS,0,50.0,2,4205,1573.9603300000026,True,3419.613209999997
T6_plain,FUDS,0,50.0,3,5633,1429.0348900000026,True,1986.2704599999997
T6_plain,FUDS,0,50.0,4,6790,457.8269599999976,True,824.294879999994
T6_plain,FUDS,1,-10.0,0,1196,1913.7714400000004,True,4484.203099999999
T6_plain,FUDS,1,-10.0,1,2242,1970.6221299999988,True,3435.749079999998
T6_plain,FUDS,1,-10.0,2,2655,1811.427110000001,True,3021.6220199999993
T6_plain,FUDS,1,-10.0,3,3485,1045.9728400000022,True,2190.0072199999995
T6_plain,FUDS,1,-10.0,4,4364,,False,1308.4756999999954
T6_plain,FUDS,1,0.0,0,877,3303.253929999999,True,6153.038049999996
T6_plain,FUDS,1,0.0,1,2453,1590.181589999996,True,4572.219649999995
T6_plain,FUDS,1,0.0,2,3584,1703.4887399999998,True,3438.3691399999952
T6_plain,FUDS,1,0.0,3,4773,1091.7810300000056,True,2245.6532399999996
T6_plain,FUDS,1,0.0,4,5611,284.9835400000011,True,1405.711709999996
T6_plain,FUDS,1,10.0,0,1628,2847.348339999997,True,5456.29898
T6_plain,FUDS,1,10.0,1,2365,1961.523680000002,True,4716.963
T6_plain,FUDS,1,10.0,2,3032,2382.4221499999994,True,4048.135009999998
T6_plain,FUDS,1,10.0,3,4619,666.3005900000053,True,2456.4394200000024
T6_plain,FUDS,1,10.0,4,5595,158.473960000003,True,1477.7204300000012
T6_plain,FUDS,1,20.0,0,1022,3190.03675,True,6292.8186799999985
T6_plain,FUDS,1,20.0,1,1946,2526.484809999998,True,5366.368619999999
T6_plain,FUDS,1,20.0,2,3859,1552.863130000002,True,3447.5344400000017
T6_plain,FUDS,1,20.0,3,4312,1781.2059799999988,True,2993.4151500000025
